filename,performer,chroma,mode,instrument,val,feature
01_Bach_Prelude_0_Major_P1.mid,midi,0,Major,midi,0.2,mirmode
02_Bach_Prelude_0_minor_P1.mid,midi,0,minor,midi,-0.082,mirmode
03_Bach_Prelude_1_Major_P1.mid,midi,1,Major,midi,0.265,mirmode
04_Bach_Prelude_1_minor_P1.mid,midi,1,minor,midi,-0.234,mirmode
05_Bach_Prelude_2_Major_P1.mid,midi,2,Major,midi,-0.001,mirmode
06_Bach_Prelude_2_minor_P1.mid,midi,2,minor,midi,-0.148,mirmode
07_Bach_Prelude_3_Major_P1.mid,midi,3,Major,midi,0.206,mirmode
08_Bach_Prelude_3_minor_P1.mid,midi,3,minor,midi,-0.31,mirmode
09_Bach_Prelude_4_Major_P1.mid,midi,4,Major,midi,0.255,mirmode
10_Bach_Prelude_4_minor_P1.mid,midi,4,minor,midi,-0.181,mirmode
11_Bach_Prelude_5_Major_P1.mid,midi,5,Major,midi,-0.1,mirmode
12_Bach_Prelude_5_minor_P1.mid,midi,5,minor,midi,-0.246,mirmode
13_Bach_Prelude_6_Major_P1.mid,midi,6,Major,midi,0.2,mirmode
14_Bach_Prelude_6_minor_P1.mid,midi,6,minor,midi,-0.152,mirmode
15_Bach_Prelude_7_Major_P1.mid,midi,7,Major,midi,0.136,mirmode
16_Bach_Prelude_7_minor_P1.mid,midi,7,minor,midi,-0.304,mirmode
17_Bach_Prelude_8_Major_P1.mid,midi,8,Major,midi,0.306,mirmode
18_Bach_Prelude_8_minor_P1.mid,midi,8,minor,midi,0.078,mirmode
19_Bach_Prelude_9_Major_P1.mid,midi,9,Major,midi,0.191,mirmode
20_Bach_Prelude_9_minor_P1.mid,midi,9,minor,midi,-0.249,mirmode
21_Bach_Prelude_10_Major_P1.mid,midi,10,Major,midi,-0.021,mirmode
22_Bach_Prelude_10_minor_P1.mid,midi,10,minor,midi,-0.199,mirmode
23_Bach_Prelude_11_Major_P1.mid,midi,11,Major,midi,0.037,mirmode
24_Bach_Prelude_11_minor_P1.mid,midi,11,minor,midi,-0.009,mirmode
