val,mode,pc
1.561306528,major,0
0.839633522,major,1
1.192863059,major,2
0.758618294,major,3
1.415716275,major,4
1.030016678,major,5
0.87559268,major,6
1.536103663,major,7
0.841472564,major,8
1.214095687,major,9
0.723516215,major,10
1.133100317,major,11
1.622160758,minor,0
0.802739839,minor,1
1.158742943,minor,2
1.381344982,minor,3
0.979464974,minor,4
1.04863697,minor,5
0.859499276,minor,6
1.546622579,minor,7
1.052296601,minor,8
1.017899086,minor,9
1.127755566,minor,10
0.986193469,minor,11
